Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Hip,Reverse Plank,Beginner,,Low,Core,,5 minutes,1 minute,Isometric,50,Increase duration,Low
Trapezius,Band Pull-Apart,Beginner,Resistance Band,Low,Shoulders,Upper Back,8 minutes,1 minute,Strength,60,Increase band tension,Low
Trapezius,Bent Over Reverse Cable Fly,Intermediate,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Trapezius,Bent-Over Barbell Reverse Raise,Advanced,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Hip,Landmine Squat to Press,Advanced,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Leg,Landmine Squat to Press,Advanced,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Shoulders,Landmine Squat to Press,Advanced,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Trapezius,Barbell Rear Delt Raise,Advanced,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Leg,Barbell Clean and Press,Advanced,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Barbell Clean and Press,Advanced,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Triceps,Narrow Grip Wall Push-Up,,,,,,,,,,,
Shoulders,Across Chest Shoulder Stretch,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Standing Reach Up Back rotation Stretch,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Standing Reach Up Back rotation Stretch,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Chest,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Chest,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Triceps,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Triceps,Shoulder Stretch Behind The Back,Beginner,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Leg,Dumbbell Lateral Step Up,Intermediate,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Dumbbell Lateral Step Up,Intermediate,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Lateral Step-up,Beginner,,Low,Cardio,,10 minutes,2 minutes,Aerobic,80,,Low
Leg,Lateral Step-up,Beginner,,Low,Cardio,,10 minutes,2 minutes,Aerobic,80,,Low
Leg,Step Up + Opposite Elbow to Knee Twist,Beginner,,Low,Cardio,,10 minutes,2 minutes,Aerobic,90,,Low
Leg,Step Up + Opposite Elbow to Knee Twist,Beginner,,Low,Cardio,,10 minutes,2 minutes,Aerobic,90,,Low
Leg,Barbell Step-Up,Intermediate,Barbell,Moderate,Hips,Glutes,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Leg,Barbell Step-Up,Intermediate,Barbell,Moderate,Hips,Glutes,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Calisthenic,Close Grip Chin Up,Intermediate,,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Calisthenic,Close Grip Chin Up,Intermediate,,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Neck,Floor Hyperextension,,,,,,,,,,,
Leg,Lying Glute Stretch,,,,,,,,,,,
Triceps,Wall Push-up,,,,,,,,,,,
Hip,Reverse Hyperextension Machine,,,,,,,,,,,
Calisthenic,Hanging Knee Raises,Intermediate,,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Knee Raises,Intermediate,,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Side Knee Raises,Intermediate,,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Side Knee Raises,Intermediate,,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Windshield Wiper,Advanced,,High,Core,Obliques,10 minutes,3 minutes,Strength,100,Increase reps,High
Calisthenic,Hanging Windshield Wiper,Advanced,,High,Core,Obliques,10 minutes,3 minutes,Strength,100,Increase reps,High
Calisthenic,Toes to Bar,Advanced,,High,Core,Lower Abs,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,Toes to Bar,Advanced,,High,Core,Lower Abs,10 minutes,3 minutes,Strength,120,Increase reps,High
Forearm,Dumbbell Reverse Curl,Intermediate,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,85,Increase weight,Low
Forearm,Seated Hammer Curl,Intermediate,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Forearm,Reverse Grip EZ-Bar Curl,Intermediate,EZ-Bar,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Forearm,Dumbbell Scott Hammer Curl,Intermediate,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,Parallel Bar Dips,,,,,,,,,,,
Triceps,Parallel Bar Dips,,,,,,,,,,,
Hip,Plank With Arm And Leg Lift,,,,,,,,,,,
Leg,Plank With Arm And Leg Lift,,,,,,,,,,,
Erector Spinae,T-Bar Row,,,,,,,,,,,
Leg,Weighted Front Plank,,,,,,,,,,,
Shoulders,Handstand Push-Up,,,,,,,,,,,
Chest,Back and Pec Stretch,,,,,,,,,,,
Trapezius,Incline Dumbbell Reverse Fly,Intermediate,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Trapezius,Incline Dumbbell Y-Raise,Intermediate,Dumbbell,Moderate,Shoulders,,10 minutes,2 minutes,Strength,80,Increase weight,Low
Trapezius,Dumbbell Incline T-Raise,Intermediate,Dumbbell,Moderate,Shoulders,,10 minutes,2 minutes,Strength,80,Increase weight,Low
Hip,Smith Machine Good Morning,Intermediate,Smith Machine,Moderate,Lower Back,,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Leg,Smith Machine Good Morning,Intermediate,Smith Machine,Moderate,Lower Back,,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Hip,Cable Pull Through,Intermediate,Cable Machine,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Chest,Reverse Push-up,Beginner,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Triceps,Reverse Push-up,Beginner,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Erector Spinae,Twisting Hyperextension,Intermediate,Hyperextension Bench,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Triceps,Cross Arm Push-up,Intermediate,,Moderate,Upper Body,,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Upside Down Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,L-Sit,Advanced,,High,Core,,10 minutes,3 minutes,Isometric,100,Increase duration,High
Triceps,Close-Grip Dumbbell Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Leg,Wall Sit,Beginner,,Low,Hips,Quads,8 minutes,1 minute,Isometric,70,Increase duration,Low
Cardio,High Knee Squat,Beginner,,Low,Core,Quads,8 minutes,1 minute,Strength,70,Increase reps,Low
Hip,High Knee Squat,Beginner,,Low,Core,Quads,8 minutes,1 minute,Strength,70,Increase reps,Low
Leg,High Knee Squat,Beginner,,Low,Core,Quads,8 minutes,1 minute,Strength,70,Increase reps,Low
