exercise,primary_muscle,exercise_link,image_link
Side Plank Hip Adduction,Abs,https://fitnessprogramer.com/exercise/side-plank-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2025/03/Side-Plank-Hip-Adduction-Copenhagen-adduction.gif
Side Plank Hip Adduction,Full Body,https://fitnessprogramer.com/exercise/side-plank-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2025/03/Side-Plank-Hip-Adduction-Copenhagen-adduction.gif
Side Plank Hip Adduction,Hip,https://fitnessprogramer.com/exercise/side-plank-hip-adduction/,https://fitnessprogramer.com/wp-content/uploads/2025/03/Side-Plank-Hip-Adduction-Copenhagen-adduction.gif
Single-Leg Dumbbell Hip Thrust,Hip,https://fitnessprogramer.com/exercise/single-leg-dumbbell-hip-thrust/,https://fitnessprogramer.com/wp-content/uploads/2025/03/Single-Leg-Dumbbell-Hip-Thrust.gif
Barbell JM Press,Triceps,https://fitnessprogramer.com/exercise/barbell-jm-press/,https://fitnessprogramer.com/wp-content/uploads/2024/12/Barbell-JM-Press.gif
Bench Press,Chest,https://fitnessprogramer.com/exercise/bench-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bench-Press.gif
Smith Machine Squat,Hip,https://fitnessprogramer.com/exercise/smith-machine-squat/,https://fitnessprogramer.com/wp-content/uploads/2024/10/smith-machine-squat.gif
Smith Machine Squat,Leg,https://fitnessprogramer.com/exercise/smith-machine-squat/,https://fitnessprogramer.com/wp-content/uploads/2024/10/smith-machine-squat.gif
Dumbbell Cossack Squat,Hip,https://fitnessprogramer.com/exercise/dumbbell-cossack-squat/,https://fitnessprogramer.com/wp-content/uploads/2024/09/dumbbell-cossack-squat.gif
Dumbbell Cossack Squat,Leg,https://fitnessprogramer.com/exercise/dumbbell-cossack-squat/,https://fitnessprogramer.com/wp-content/uploads/2024/09/dumbbell-cossack-squat.gif
Seated Barbell Shoulder Press,Shoulders,https://fitnessprogramer.com/exercise/barbell-shoulder-press/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shoulder-Press.gif
Dumbbell Goblet Squat,Hip,https://fitnessprogramer.com/exercise/dumbbell-goblet-squat/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Dumbbell-Goblet-Squat.gif
Dumbbell Goblet Squat,Leg,https://fitnessprogramer.com/exercise/dumbbell-goblet-squat/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Dumbbell-Goblet-Squat.gif
Curtsy Lunge,Hip,https://fitnessprogramer.com/exercise/curtsy-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/curtsy-lunge.gif
Curtsy Lunge,Leg,https://fitnessprogramer.com/exercise/curtsy-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/curtsy-lunge.gif
Medicine Ball Rotational Throw,Abs,https://fitnessprogramer.com/exercise/medicine-ball-rotational-throw/,https://fitnessprogramer.com/wp-content/uploads/2023/12/Medicine-Ball-Rotational-Throw.gif
5 Dot Drills,Cardio,https://fitnessprogramer.com/exercise/5-dot-drills/,https://fitnessprogramer.com/wp-content/uploads/2023/12/5-Dot-drills-agility-exercise.gif
5 Dot Drills,Hip,https://fitnessprogramer.com/exercise/5-dot-drills/,https://fitnessprogramer.com/wp-content/uploads/2023/12/5-Dot-drills-agility-exercise.gif
5 Dot Drills,Leg,https://fitnessprogramer.com/exercise/5-dot-drills/,https://fitnessprogramer.com/wp-content/uploads/2023/12/5-Dot-drills-agility-exercise.gif
High Knee Lunge on Bosu Ball,Hip,https://fitnessprogramer.com/exercise/high-knee-lunge-on-bosu-ball/,https://fitnessprogramer.com/wp-content/uploads/2023/09/High-Knee-Lunge-on-Bosu-Ball.gif
High Knee Lunge on Bosu Ball,Leg,https://fitnessprogramer.com/exercise/high-knee-lunge-on-bosu-ball/,https://fitnessprogramer.com/wp-content/uploads/2023/09/High-Knee-Lunge-on-Bosu-Ball.gif
Standing Leg Circles,Hip,https://fitnessprogramer.com/exercise/standing-leg-circles/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Standing-Leg-Circles.gif
Standing Leg Circles,Leg,https://fitnessprogramer.com/exercise/standing-leg-circles/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Standing-Leg-Circles.gif
Static Lunge,Hip,https://fitnessprogramer.com/exercise/static-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Static-Lunge.gif
Static Lunge,Leg,https://fitnessprogramer.com/exercise/static-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Static-Lunge.gif
Navy Seal Burpee,Cardio,https://fitnessprogramer.com/exercise/navy-seal-burpee/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Navy-Seal-Burpee.gif
Navy Seal Burpee,Full Body,https://fitnessprogramer.com/exercise/navy-seal-burpee/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Navy-Seal-Burpee.gif
Seated Zottman Curl,Biceps,https://fitnessprogramer.com/exercise/seated-zottman-curl/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Seated-Zottman-Curl.gif
Seated Zottman Curl,Forearm,https://fitnessprogramer.com/exercise/seated-zottman-curl/,https://fitnessprogramer.com/wp-content/uploads/2023/10/Seated-Zottman-Curl.gif
Dumbbell Walking Lunge,Full Body,https://fitnessprogramer.com/exercise/dumbbell-walking-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-lunges.gif
Dumbbell Walking Lunge,Hip,https://fitnessprogramer.com/exercise/dumbbell-walking-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-lunges.gif
Dumbbell Walking Lunge,Leg,https://fitnessprogramer.com/exercise/dumbbell-walking-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-lunges.gif
