Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Hip,Reverse Plank,,,,,,,,,,
Trapezius,Band Pull-Apart,,,,,,,,,,
Trapezius,Bent Over Reverse Cable Fly,,,,,,,,,,
Trapezius,Bent-Over Barbell Reverse Raise,,,,,,,,,,
Hip,Landmine Squat to Press,,,,,,,,,,
Leg,Landmine Squat to Press,,,,,,,,,,
Shoulders,Landmine Squat to Press,,,,,,,,,,
Trapezius,Barbell Rear Delt Raise,,,,,,,,,,
Leg,Barbell Clean and Press,,,,,,,,,,
Shoulders,Barbell Clean and Press,,,,,,,,,,
Triceps,Narrow Grip Wall Push-Up,,,,,,,,,,
Shoulders,Across Chest Shoulder Stretch,,,,,,,,,,
Shoulders,Standing Reach Up Back rotation Stretch,,,,,,,,,,
Chest,Shoulder Stretch Behind The Back,,,,,,,,,,
Shoulders,Shoulder Stretch Behind The Back,,,,,,,,,,
Triceps,Shoulder Stretch Behind The Back,,,,,,,,,,
Leg,Dumbbell Lateral Step Up,,,,,,,,,,
Leg,Lateral Step-up,,,,,,,,,,
Leg,Step Up + Opposite Elbow to Knee Twist,,,,,,,,,,
Leg,Barbell Step-Up,,,,,,,,,,
Calisthenic,Close Grip Chin Up,,,,,,,,,,
Neck,Floor Hyperextension,,,,,,,,,,
Leg,Lying Glute Stretch,,,,,,,,,,
Triceps,Wall Push-up,,,,,,,,,,
Hip,Reverse Hyperextension Machine,,,,,,,,,,
Calisthenic,Hanging Knee Raises,,,,,,,,,,
Calisthenic,Hanging Side Knee Raises,,,,,,,,,,
Calisthenic,Hanging Windshield Wiper,,,,,,,,,,
Calisthenic,Toes to Bar,,,,,,,,,,
Forearm,Dumbbell Reverse Curl,,,,,,,,,,
Forearm,Seated Hammer Curl,,,,,,,,,,
Forearm,Reverse Grip EZ-Bar Curl,,,,,,,,,,
Forearm,Dumbbell Scott Hammer Curl,,,,,,,,,,
Chest,Parallel Bar Dips,,,,,,,,,,
Triceps,Parallel Bar Dips,,,,,,,,,,
Hip,Plank With Arm And Leg Lift,,,,,,,,,,
Leg,Plank With Arm And Leg Lift,,,,,,,,,,
Erector Spinae,T-Bar Row,,,,,,,,,,
Leg,Weighted Front Plank,,,,,,,,,,
Shoulders,Handstand Push-Up,,,,,,,,,,
Chest,Back and Pec Stretch,,,,,,,,,,
Trapezius,Incline Dumbbell Reverse Fly,,,,,,,,,,
Trapezius,Incline Dumbbell Y-Raise,,,,,,,,,,
Trapezius,Dumbbell Incline T-Raise,,,,,,,,,,
Hip,Smith Machine Good Morning,,,,,,,,,,
Leg,Smith Machine Good Morning,,,,,,,,,,
Hip,Cable Pull Through,,,,,,,,,,
Chest,Reverse Push-up,,,,,,,,,,
Triceps,Reverse Push-up,,,,,,,,,,
Erector Spinae,Twisting Hyperextension,,,,,,,,,,
Triceps,Cross Arm Push-up,,,,,,,,,,
Calisthenic,Upside Down Pull-up,,,,,,,,,,
Calisthenic,L-Sit,,,,,,,,,,
Triceps,Close-Grip Dumbbell Press,,,,,,,,,,
Leg,Wall Sit,,,,,,,,,,
Cardio,High Knee Squat,,,,,,,,,,
Hip,High Knee Squat,,,,,,,,,,
Leg,High Knee Squat,,,,,,,,,,
Erector Spinae,Swimming,,,,,,,,,,
Hip,Swimming,,,,,,,,,,
Trapezius,Swimming,,,,,,,,,,
Chest,Clap Push-Up,,,,,,,,,,
Hip,Frog Reverse Hyperextension,,,,,,,,,,
Leg,Kettlebell Split Snatch,,,,,,,,,,
Shoulders,Kettlebell Split Snatch,,,,,,,,,,
Shoulders,Kettlebell Windmill,,,,,,,,,,
Full Body,Kettlebell Swings,,,,,,,,,,
Hip,Kettlebell Swings,,,,,,,,,,
Leg,Kettlebell Swings,,,,,,,,,,
Shoulders,Kettlebell Swings,,,,,,,,,,
Trapezius,Bent Over Rear Delt Fly | Gymstick,,,,,,,,,,
Biceps,Brachialis Pull-up,,,,,,,,,,
Leg,Bodyweight Box Squat,,,,,,,,,,
Triceps,Single Dumbbell Close-grip Press,,,,,,,,,,
Neck,Bhujangasana | Cobra Abdominal Stretch,,,,,,,,,,
Yoga,Bhujangasana | Cobra Abdominal Stretch,,,,,,,,,,
Leg,Step Up Single Leg Balance with Bicep Curl,,,,,,,,,,
Hip,Bird Dog,,,,,,,,,,
Calisthenic,Ab Straps Leg Raise,,,,,,,,,,
Leg,Dumbbell Step-Up,,,,,,,,,,
Leg,Belt Squat,,,,,,,,,,
Erector Spinae,Seated Cable Rope Row,,,,,,,,,,
Leg,Reverse Lunge,,,,,,,,,,
Triceps,Kneeling Diamond Push-Up,,,,,,,,,,
Chest,Dips Between Chairs,,,,,,,,,,
Triceps,Dips Between Chairs,,,,,,,,,,
Leg,Boat Pose,,,,,,,,,,
Shoulders,Scapular Protraction and Retraction,,,,,,,,,,
Trapezius,Scapular Protraction and Retraction,,,,,,,,,,
Calisthenic,Ring Inverted Row,,,,,,,,,,
Leg,Long Jump,,,,,,,,,,
Hip,One Arm Kettlebell Snatch,,,,,,,,,,
Leg,One Arm Kettlebell Snatch,,,,,,,,,,
Shoulders,One Arm Kettlebell Snatch,,,,,,,,,,
Trapezius,Cross Cable Face Pull,,,,,,,,,,
Trapezius,Elbow Reverse Push-Up,,,,,,,,,,
Full Body,Impossible Dips,,,,,,,,,,
Triceps,Impossible Dips,,,,,,,,,,
Chest,Korean Dips,,,,,,,,,,
Full Body,Korean Dips,,,,,,,,,,
Triceps,Korean Dips,,,,,,,,,,
Chest,Straight Bar Dip,,,,,,,,,,
Full Body,Straight Bar Dip,,,,,,,,,,
Triceps,Straight Bar Dip,,,,,,,,,,
Shoulders,One Arm Landmine Row,,,,,,,,,,
Cardio,Front Plank With Arm And Leg Lift,,,,,,,,,,
Hip,Front Plank With Arm And Leg Lift,,,,,,,,,,
Leg,Front Plank With Arm And Leg Lift,,,,,,,,,,
Leg,Resistance Band Toe Touch,,,,,,,,,,
Chest,Standing One Arm Chest Stretch,,,,,,,,,,
Forearm,Standing One Arm Chest Stretch,,,,,,,,,,
Leg,Kneeling Hip Flexor Stretch,,,,,,,,,,
Leg,Exercise Ball Wall Squat,,,,,,,,,,
Triceps,Dumbbell Decline One-Arm Hammer Press,,,,,,,,,,
Shoulders,Bench Pike Push-up,,,,,,,,,,
Chest,Pike Push-up,,,,,,,,,,
Shoulders,Pike Push-up,,,,,,,,,,
Full Body,Kettlebell Clean and Jerk,,,,,,,,,,
Hip,Kettlebell Clean and Jerk,,,,,,,,,,
Leg,Kettlebell Clean and Jerk,,,,,,,,,,
Shoulders,Kettlebell Clean and Jerk,,,,,,,,,,
Leg,Kettlebell Goblet Squat,,,,,,,,,,
Hip,Kettlebell Deadlift,,,,,,,,,,
Leg,Kettlebell Deadlift,,,,,,,,,,
Full Body,Dumbbell Burpees,,,,,,,,,,
Leg,Standing Toe Touches,,,,,,,,,,
Shoulders,Full Range Of Motion Lat Pulldown,,,,,,,,,,
Hip,Dumbbell Split Jump,,,,,,,,,,
Leg,Dumbbell Split Jump,,,,,,,,,,
Leg,Banded Step-up,,,,,,,,,,
Full Body,Dumbbell Jump Squat,,,,,,,,,,
Hip,Dumbbell Jump Squat,,,,,,,,,,
Leg,Dumbbell Jump Squat,,,,,,,,,,
Biceps,Chin-Up,,,,,,,,,,
Cardio,Burpees,,,,,,,,,,
Full Body,Burpees,,,,,,,,,,
Hip,Burpees,,,,,,,,,,
Leg,Burpees,,,,,,,,,,
Trapezius,Scapula Dips,,,,,,,,,,
Trapezius,Push-Up Plus,,,,,,,,,,
Erector Spinae,Seated Toe Touches,,,,,,,,,,
Leg,Seated Toe Touches,,,,,,,,,,
Calisthenic,L-Sit Pull-Up,,,,,,,,,,
Full Body,L-Sit Pull-Up,,,,,,,,,,
Calisthenic,Back Lever,,,,,,,,,,
Full Body,Back Lever,,,,,,,,,,
Shoulders,Back Lever,,,,,,,,,,
Calisthenic,Swing 360,,,,,,,,,,
Calisthenic,Front Lever Pull-up,,,,,,,,,,
Full Body,Front Lever Pull-up,,,,,,,,,,
Leg,Reverse Hack Squat,,,,,,,,,,
Leg,Duck Walk,,,,,,,,,,
Chest,Single-Arm Push-up,,,,,,,,,,
Triceps,Single-Arm Push-up,,,,,,,,,,
Leg,Zercher Squat,,,,,,,,,,
Hip,Ab Wheel Rollout,,,,,,,,,,
Shoulders,Wall-Supported Handstand Push-Ups,,,,,,,,,,
Triceps,Wall-Supported Handstand Push-Ups,,,,,,,,,,
